datetime,postedDatetime,deliveryDate,hourEnding,genSystemWide,COPHSLSystemWide,STWPFSystemWide,WGRPPSystemWide,genLoadZoneSouthHouston,COPHSLLoadZoneSouthHouston,STWPFLoadZoneSouthHouston,WGRPPLoadZoneSouthHouston,genLoadZoneWest,COPHSLLoadZoneWest,STWPFLoadZoneWest,WGRPPLoadZoneWest,genLoadZoneNorth,COPHSLLoadZoneNorth,STWPFLoadZoneNorth,WGRPPLoadZoneNorth,HSLSystemWide,DSTFlag,deliveryDateRequested
2024-08-22 00:00:00,2024-08-23 23:55:08,2024-08-21,24,20937.14,19521.4,21385.5,16963.1,3632.98,3620.9,3691.4,2685.2,15144.75,13662.6,15496.4,12535.7,2159.41,2237.9,2197.7,1742.2,,False,2024-08-21
2024-08-21 23:00:00,2024-08-23 22:55:10,2024-08-21,23,19817.59,17628.2,19912.4,15629.6,3917.54,3366.2,3953.4,2908.8,13811.3,12124.5,13876.0,11089.1,2088.75,2137.5,2083.0,1631.7,,False,2024-08-21
2024-08-21 22:00:00,2024-08-23 21:55:10,2024-08-21,22,16056.52,15721.6,15799.3,11845.8,3371.07,3297.3,3262.1,2255.7,10639.8,10322.5,10501.7,7990.9,2045.65,2101.8,2035.5,1599.2,,False,2024-08-21
2024-08-21 21:00:00,2024-08-23 20:55:08,2024-08-21,21,12236.11,12363.9,12295.3,8912.5,2712.15,3259.2,2718.5,1822.9,7757.16,7406.9,7775.5,5732.4,1766.8,1697.8,1801.3,1357.2,,False,2024-08-21
2024-08-21 20:00:00,2024-08-23 19:55:08,2024-08-21,20,9204.02,8716.9,9138.4,6266.6,2512.77,2673.9,2576.9,1707.1,5083.79,4808.3,4870.7,3283.6,1607.46,1234.7,1690.8,1275.9,,False,2024-08-21
2024-08-21 19:00:00,2024-08-23 18:55:08,2024-08-21,19,6987.15,6152.6,6826.2,4301.3,2470.47,2343.5,2614.3,1731.7,3319.03,3074.5,3113.4,1820.8,1197.65,734.6,1098.5,748.8,,False,2024-08-21
2024-08-21 18:00:00,2024-08-23 17:55:09,2024-08-21,18,4990.76,4378.0,4909.5,2924.8,1943.61,1867.4,1899.2,1209.9,2330.97,2209.6,2316.3,1255.6,716.18,301.0,694.0,459.3,,False,2024-08-21
2024-08-21 17:00:00,2024-08-23 16:55:08,2024-08-21,17,3593.96,3726.9,3576.4,2024.4,1363.17,1306.5,1357.4,843.3,1827.15,2289.6,1877.4,982.4,403.64,130.8,341.6,198.7,,False,2024-08-21
2024-08-21 16:00:00,2024-08-23 15:55:10,2024-08-21,16,38398.67,48120.7,40811.9,22316.4,6502.95,7459.1,6385.5,3448.0,31070.88,40272.0,33662.4,18457.6,824.84,389.6,764.0,410.8,,False,2024-08-21
2024-08-21 15:00:00,2024-08-23 14:55:07,2024-08-21,15,45508.61,57463.8,50123.6,28814.6,3682.73,5422.6,3882.0,1744.2,41274.08,51716.8,45697.6,26782.4,551.8,324.4,544.0,288.0,,False,2024-08-21
2024-08-21 14:00:00,2024-08-23 13:55:06,2024-08-21,14,58023.59,65396.3,62096.3,37592.1,2278.03,3945.9,2449.9,914.5,55237.12,60902.4,59137.6,36396.8,508.44,548.0,508.8,280.8,,False,2024-08-21
2024-08-21 13:00:00,2024-08-23 12:55:06,2024-08-21,13,78939.61,79689.0,85291.7,54991.9,2987.13,3024.6,3196.1,1424.7,75483.68,75664.0,81577.6,53296.0,468.8,1000.4,518.0,271.2,,False,2024-08-21
2024-08-21 12:00:00,2024-08-23 11:55:06,2024-08-21,12,95619.69,101431.4,98919.7,65222.2,3594.33,3221.4,3693.7,1621.8,91168.16,96483.2,94270.4,63081.6,857.2,1726.8,955.6,518.8,,False,2024-08-21
2024-08-21 11:00:00,2024-08-23 10:55:08,2024-08-21,11,105045.71,116608.2,110422.5,74825.7,4451.67,3315.4,4461.3,1977.3,98775.84,111246.4,103944.0,71534.4,1818.2,2046.4,2017.2,1314.0,,False,2024-08-21
2024-08-21 10:00:00,2024-08-23 09:55:15,2024-08-21,10,109862.69,113209.2,112005.5,75483.7,4748.49,5122.4,4373.1,2142.9,102376.0,105790.4,104830.4,71448.0,2738.2,2296.4,2802.0,1892.8,,False,2024-08-21
2024-08-21 09:00:00,2024-08-23 08:55:09,2024-08-21,9,144184.38,148122.8,152875.8,111059.7,5493.9,7391.2,6180.2,3566.9,135452.64,137601.6,143526.4,105369.6,3237.84,3130.0,3169.2,2123.2,,False,2024-08-21
2024-08-21 08:00:00,2024-08-23 07:55:15,2024-08-21,8,193278.06,179961.3,199345.9,154421.2,10965.3,9991.7,11351.1,7259.6,178404.8,165808.0,184080.0,144451.2,3907.96,4161.6,3914.8,2710.4,,False,2024-08-21
2024-08-21 07:00:00,2024-08-23 06:55:07,2024-08-21,7,207932.22,193158.9,211788.3,164786.7,12796.22,11954.5,13043.5,8335.1,190061.92,176980.8,193510.4,152755.2,5074.08,4223.6,5234.4,3696.4,,False,2024-08-21
2024-08-21 06:00:00,2024-08-23 05:55:07,2024-08-21,6,207864.58,203810.5,211554.3,164303.8,14860.86,15086.1,14950.3,9699.0,187323.84,184142.4,190945.6,150662.4,5679.88,4582.0,5658.4,3942.4,,False,2024-08-21
2024-08-21 05:00:00,2024-08-23 04:55:12,2024-08-21,5,217127.62,221964.7,221164.9,173455.2,17396.38,16990.3,17824.5,11822.4,194485.28,199299.2,198272.0,158243.2,5245.96,5675.2,5068.4,3389.6,,False,2024-08-21
2024-08-21 04:00:00,2024-08-23 03:55:07,2024-08-21,4,229072.68,243754.2,233815.5,184132.9,19266.56,20172.6,19380.7,12874.1,204820.16,217427.2,209398.4,167862.4,4985.96,6154.4,5036.4,3396.4,,False,2024-08-21
2024-08-21 03:00:00,2024-08-23 02:55:10,2024-08-21,3,248624.09,263244.6,255305.2,201769.3,21422.25,22473.8,21599.6,14772.1,221413.92,233339.2,227776.0,182742.4,5787.92,7431.6,5929.6,4254.8,,False,2024-08-21
